img_num,label,super_label,label_desc,super_label_desc
334,66,12,raccoon,
335,73,1,shark,
336,54,2,orchid,
337,88,8,tiger,
338,42,8,leopard,
339,37,9,house,
340,80,16,squirrel,
341,87,5,television,
342,3,8,bear,
343,29,15,dinosaur,
344,43,8,lion,
345,12,9,bridge,
346,73,1,shark,
347,96,17,willow_tree,
348,23,10,cloud,
349,96,17,willow_tree,
350,84,6,table,
351,19,11,cattle,
352,62,2,poppy,
353,0,4,apple,
354,21,11,chimpanzee,
355,11,14,boy,
356,36,16,hamster,
357,64,12,possum,
358,76,9,skyscraper,
359,60,10,plain,
360,3,8,bear,
361,80,16,squirrel,
362,82,2,sunflower,
363,79,13,spider,
364,26,13,crab,
365,65,16,rabbit,
366,72,0,seal,
367,11,14,boy,
368,15,11,camel,
369,31,11,elephant,
370,48,18,motorcycle,
371,12,9,bridge,
372,91,1,trout,
373,71,10,sea,
374,87,5,television,
375,77,13,snail,
376,15,11,camel,
377,7,7,beetle,
378,58,18,pickup_truck,
379,51,4,mushroom,
380,55,0,otter,
381,85,19,tank,
382,2,14,baby,
383,3,8,bear,
384,89,19,tractor,
385,10,3,bowl,
386,3,8,bear,
387,11,14,boy,
388,20,6,chair,
389,4,0,beaver,
390,48,18,motorcycle,
391,27,15,crocodile,
392,48,18,motorcycle,
393,7,7,beetle,
394,67,1,ray,
395,3,8,bear,
396,65,16,rabbit,
397,56,17,palm_tree,
398,9,3,bottle,
399,44,15,lizard,
400,95,0,whale,
401,46,14,man,
402,83,4,sweet_pepper,
403,40,5,lamp,
404,58,18,pickup_truck,
405,87,5,television,
406,59,17,pine_tree,
407,18,7,caterpillar,
408,48,18,motorcycle,
409,5,6,bed,
410,88,8,tiger,
411,26,13,crab,
412,21,11,chimpanzee,
413,24,7,cockroach,
414,53,4,orange,
415,68,9,road,
416,49,10,mountain,
417,89,19,tractor,
418,96,17,willow_tree,
419,92,2,tulip,
420,7,7,beetle,
421,13,18,bus,
422,99,13,worm,
423,49,10,mountain,
424,22,5,clock,
425,56,17,palm_tree,
426,67,1,ray,
427,13,18,bus,
428,97,8,wolf,
429,6,7,bee,
430,19,11,cattle,
431,76,9,skyscraper,
432,65,16,rabbit,
433,9,3,bottle,
434,71,10,sea,
435,63,12,porcupine,
436,71,10,sea,
437,18,7,caterpillar,
438,55,0,otter,
439,34,12,fox,
440,18,7,caterpillar,
441,0,4,apple,
442,56,17,palm_tree,
443,23,10,cloud,
444,75,12,skunk,
445,70,2,rose,
446,78,15,snake,
447,45,13,lobster,
448,66,12,raccoon,
449,91,1,trout,
450,25,6,couch,
451,58,18,pickup_truck,
452,90,18,train,
453,29,15,dinosaur,
454,68,9,road,
455,35,14,girl,
456,54,2,orchid,
457,77,13,snail,
458,97,8,wolf,
459,0,4,apple,
460,70,2,rose,
461,75,12,skunk,
462,60,10,plain,
463,65,16,rabbit,
464,5,6,bed,
465,58,18,pickup_truck,
466,82,2,sunflower,
467,49,10,mountain,
468,61,3,plate,
469,28,3,cup,
470,44,15,lizard,
471,56,17,palm_tree,
472,82,2,sunflower,
473,61,3,plate,
474,43,8,lion,
475,20,6,chair,
476,38,11,kangaroo,
477,85,19,tank,
478,87,5,television,
479,49,10,mountain,
480,85,19,tank,
481,24,7,cockroach,
482,7,7,beetle,
483,88,8,tiger,
484,40,5,lamp,
485,38,11,kangaroo,
486,72,0,seal,
487,56,17,palm_tree,
488,4,0,beaver,
489,81,19,streetcar,
490,98,14,woman,
491,97,8,wolf,
492,14,7,butterfly,
493,46,14,man,
494,23,10,cloud,
495,89,19,tractor,
496,86,5,telephone,
497,83,4,sweet_pepper,
498,54,2,orchid,
499,27,15,crocodile,
500,41,19,lawn_mower,
501,96,17,willow_tree,
502,1,1,aquarium_fish,
503,81,19,streetcar,
504,79,13,spider,
505,30,0,dolphin,
506,17,9,castle,
507,14,7,butterfly,
508,67,1,ray,
509,20,6,chair,
510,54,2,orchid,
511,92,2,tulip,
512,33,10,forest,
513,57,4,pear,
514,65,16,rabbit,
515,49,10,mountain,
516,71,10,sea,
517,59,17,pine_tree,
518,85,19,tank,
519,22,5,clock,
520,31,11,elephant,
521,85,19,tank,
522,17,9,castle,
523,42,8,leopard,
524,62,2,poppy,
525,26,13,crab,
526,60,10,plain,
527,27,15,crocodile,
528,57,4,pear,
529,19,11,cattle,
530,97,8,wolf,
531,88,8,tiger,
532,10,3,bowl,
533,31,11,elephant,
534,23,10,cloud,
535,84,6,table,
536,74,16,shrew,
537,63,12,porcupine,
538,94,6,wardrobe,
539,77,13,snail,
540,90,18,train,
541,60,10,plain,
542,5,6,bed,
543,1,1,aquarium_fish,
544,61,3,plate,
545,95,0,whale,
546,32,1,flatfish,
547,95,0,whale,
548,57,4,pear,
549,32,1,flatfish,
550,23,10,cloud,
551,39,5,computer_keyboard,
552,45,13,lobster,
553,41,19,lawn_mower,
554,69,19,rocket,
555,89,19,tractor,
556,45,13,lobster,
557,47,17,maple_tree,
558,57,4,pear,
559,11,14,boy,
560,48,18,motorcycle,
561,74,16,shrew,
562,2,14,baby,
563,11,14,boy,
564,95,0,whale,
565,50,16,mouse,
566,37,9,house,
567,59,17,pine_tree,
568,71,10,sea,
569,84,6,table,
570,89,19,tractor,
571,84,6,table,
572,70,2,rose,
573,16,3,can,
574,71,10,sea,
575,8,18,bicycle,
576,48,18,motorcycle,
577,31,11,elephant,
578,98,14,woman,
579,32,1,flatfish,
580,2,14,baby,
581,74,16,shrew,
582,62,2,poppy,
583,71,10,sea,
584,90,18,train,
585,34,12,fox,
586,51,4,mushroom,
587,0,4,apple,
588,12,9,bridge,
589,26,13,crab,
590,57,4,pear,
591,62,2,poppy,
592,57,4,pear,
593,31,11,elephant,
594,65,16,rabbit,
595,32,1,flatfish,
596,16,3,can,
597,35,14,girl,
598,98,14,woman,
599,11,14,boy,
600,87,5,television,
601,38,11,kangaroo,
602,52,17,oak_tree,
603,89,19,tractor,
604,40,5,lamp,
605,76,9,skyscraper,
606,7,7,beetle,
607,54,2,orchid,
608,76,9,skyscraper,
609,30,0,dolphin,
610,59,17,pine_tree,
611,84,6,table,
612,3,8,bear,
613,91,1,trout,
614,46,14,man,
615,65,16,rabbit,
616,43,8,lion,
617,49,10,mountain,
618,6,7,bee,
619,33,10,forest,
620,5,6,bed,
621,14,7,butterfly,
622,77,13,snail,
623,44,15,lizard,
624,68,9,road,
625,82,2,sunflower,
626,94,6,wardrobe,
627,66,12,raccoon,
628,73,1,shark,
629,56,17,palm_tree,
630,89,19,tractor,
631,53,4,orange,
632,22,5,clock,
633,69,19,rocket,
634,77,13,snail,
635,84,6,table,
636,20,6,chair,
637,98,14,woman,
638,4,0,beaver,
639,69,19,rocket,
640,79,13,spider,
641,40,5,lamp,
642,45,13,lobster,
643,1,1,aquarium_fish,
644,56,17,palm_tree,
645,65,16,rabbit,
646,51,4,mushroom,
647,5,6,bed,
648,80,16,squirrel,
649,54,2,orchid,
650,92,2,tulip,
651,4,0,beaver,
652,23,10,cloud,
653,60,10,plain,
654,81,19,streetcar,
655,77,13,snail,
656,73,1,shark,
657,98,14,woman,
658,0,4,apple,
659,14,7,butterfly,
660,9,3,bottle,
661,44,15,lizard,
662,27,15,crocodile,
663,8,18,bicycle,
664,43,8,lion,
665,74,16,shrew,
666,46,14,man,
667,94,6,wardrobe,
668,86,5,telephone,
669,30,0,dolphin,
670,61,3,plate,
671,57,4,pear,
672,11,14,boy,
673,81,19,streetcar,
674,25,6,couch,
675,81,19,streetcar,
676,70,2,rose,
677,29,15,dinosaur,
678,27,15,crocodile,
679,3,8,bear,
680,71,10,sea,
681,53,4,orange,
682,48,18,motorcycle,
683,19,11,cattle,
684,80,16,squirrel,
685,57,4,pear,
686,19,11,cattle,
687,59,17,pine_tree,
688,25,6,couch,
689,56,17,palm_tree,
690,74,16,shrew,
691,32,1,flatfish,
692,98,14,woman,
693,37,9,house,
694,13,18,bus,
695,45,13,lobster,
696,12,9,bridge,
697,80,16,squirrel,
698,64,12,possum,
699,16,3,can,
700,17,9,castle,
701,24,7,cockroach,
702,30,0,dolphin,
703,25,6,couch,
704,96,17,willow_tree,
705,37,9,house,
706,5,6,bed,
707,98,14,woman,
708,31,11,elephant,
709,94,6,wardrobe,
710,5,6,bed,
711,29,15,dinosaur,
712,66,12,raccoon,
713,51,4,mushroom,
714,6,7,bee,
715,67,1,ray,
716,50,16,mouse,
717,68,9,road,
718,27,15,crocodile,
719,62,2,poppy,
720,89,19,tractor,
721,5,6,bed,
722,11,14,boy,
723,13,18,bus,
724,66,12,raccoon,
725,55,0,otter,
726,15,11,camel,
727,62,2,poppy,
728,74,16,shrew,
729,31,11,elephant,
730,93,15,turtle,
731,59,17,pine_tree,
732,1,1,aquarium_fish,
733,97,8,wolf,
734,32,1,flatfish,
735,39,5,computer_keyboard,
736,41,19,lawn_mower,
737,62,2,poppy,
738,71,10,sea,
739,70,2,rose,
740,98,14,woman,
741,41,19,lawn_mower,
742,42,8,leopard,
743,70,2,rose,
744,3,8,bear,
745,35,14,girl,
746,90,18,train,
747,22,5,clock,
748,50,16,mouse,
749,61,3,plate,
750,66,12,raccoon,
751,92,2,tulip,
752,53,4,orange,
753,12,9,bridge,
754,84,6,table,
755,33,10,forest,
756,57,4,pear,
757,93,15,turtle,
758,79,13,spider,
759,69,19,rocket,
760,53,4,orange,
761,9,3,bottle,
762,19,11,cattle,
763,6,7,bee,
764,20,6,chair,
765,76,9,skyscraper,
766,5,6,bed,
767,98,14,woman,
768,92,2,tulip,
769,78,15,snake,
770,93,15,turtle,
771,79,13,spider,
772,21,11,chimpanzee,
773,51,4,mushroom,
774,74,16,shrew,
775,76,9,skyscraper,
776,56,17,palm_tree,
777,75,12,skunk,
778,27,15,crocodile,
779,22,5,clock,
780,37,9,house,
781,16,3,can,
782,72,0,seal,
783,81,19,streetcar,
784,36,16,hamster,
785,48,18,motorcycle,
786,13,18,bus,
787,56,17,palm_tree,
788,70,2,rose,
789,0,4,apple,
790,63,12,porcupine,
791,90,18,train,
792,53,4,orange,
793,29,15,dinosaur,
794,64,12,possum,
795,2,14,baby,
796,83,4,sweet_pepper,
797,63,12,porcupine,
798,89,19,tractor,
799,14,7,butterfly,
800,66,12,raccoon,
801,95,0,whale,
802,65,16,rabbit,
803,85,19,tank,
804,5,6,bed,
805,7,7,beetle,
806,58,18,pickup_truck,
807,61,3,plate,
808,42,8,leopard,
809,59,17,pine_tree,
810,37,9,house,
811,12,9,bridge,
812,42,8,leopard,
813,66,12,raccoon,
814,71,10,sea,
815,40,5,lamp,
816,63,12,porcupine,
817,45,13,lobster,
818,19,11,cattle,
819,33,10,forest,
820,55,0,otter,
821,26,13,crab,
822,0,4,apple,
823,60,10,plain,
824,72,0,seal,
825,4,0,beaver,
826,63,12,porcupine,
827,76,9,skyscraper,
828,46,14,man,
829,64,12,possum,
830,96,17,willow_tree,
831,69,19,rocket,
832,64,12,possum,
833,75,12,skunk,
834,33,10,forest,
835,36,16,hamster,
836,26,13,crab,
837,62,2,poppy,
838,18,7,caterpillar,
839,48,18,motorcycle,
840,50,16,mouse,
841,36,16,hamster,
842,26,13,crab,
843,28,3,cup,
844,71,10,sea,
845,76,9,skyscraper,
846,45,13,lobster,
847,52,17,oak_tree,
848,65,16,rabbit,
849,59,17,pine_tree,
850,41,19,lawn_mower,
851,69,19,rocket,
852,15,11,camel,
853,87,5,television,
854,50,16,mouse,
855,11,14,boy,
856,71,10,sea,
857,36,16,hamster,
858,84,6,table,
859,73,1,shark,
860,46,14,man,
861,83,4,sweet_pepper,
862,12,9,bridge,
863,79,13,spider,
864,54,2,orchid,
865,50,16,mouse,
866,75,12,skunk,
867,72,0,seal,
868,37,9,house,
869,91,1,trout,
870,19,11,cattle,
871,82,2,sunflower,
872,22,5,clock,
873,41,19,lawn_mower,
874,53,4,orange,
875,14,7,butterfly,
876,15,11,camel,
877,84,6,table,
878,11,14,boy,
879,35,14,girl,
880,83,4,sweet_pepper,
881,36,16,hamster,
882,17,9,castle,
883,74,16,shrew,
884,26,13,crab,
885,46,14,man,
886,97,8,wolf,
887,85,19,tank,
888,98,14,woman,
889,10,3,bowl,
890,63,12,porcupine,
891,72,0,seal,
892,93,15,turtle,
893,45,13,lobster,
894,95,0,whale,
895,68,9,road,
896,14,7,butterfly,
897,62,2,poppy,
898,73,1,shark,
899,62,2,poppy,
900,11,14,boy,
901,23,10,cloud,
902,24,7,cockroach,
903,97,8,wolf,
904,32,1,flatfish,
905,78,15,snake,
906,29,15,dinosaur,
907,54,2,orchid,
908,20,6,chair,
909,41,19,lawn_mower,
910,88,8,tiger,
911,34,12,fox,
912,87,5,television,
913,62,2,poppy,
914,29,15,dinosaur,
915,0,4,apple,
916,4,0,beaver,
917,31,11,elephant,
918,50,16,mouse,
919,33,10,forest,
920,5,6,bed,
921,8,18,bicycle,
922,48,18,motorcycle,
923,71,10,sea,
924,71,10,sea,
925,94,6,wardrobe,
926,5,6,bed,
927,15,11,camel,
928,16,3,can,
929,98,14,woman,
930,29,15,dinosaur,
931,42,8,leopard,
932,68,9,road,
933,40,5,lamp,
934,95,0,whale,
935,85,19,tank,
936,64,12,possum,
937,40,5,lamp,
938,24,7,cockroach,
939,3,8,bear,
940,11,14,boy,
941,79,13,spider,
942,10,3,bowl,
943,3,8,bear,
944,73,1,shark,
945,22,5,clock,
946,28,3,cup,
947,70,2,rose,
948,94,6,wardrobe,
949,42,8,leopard,
950,14,7,butterfly,
951,4,0,beaver,
952,18,7,caterpillar,
953,86,5,telephone,
954,4,0,beaver,
955,32,1,flatfish,
956,38,11,kangaroo,
957,24,7,cockroach,
958,65,16,rabbit,
959,75,12,skunk,
960,1,1,aquarium_fish,
961,7,7,beetle,
962,99,13,worm,
963,58,18,pickup_truck,
964,8,18,bicycle,
965,67,1,ray,
966,10,3,bowl,
967,44,15,lizard,
968,98,14,woman,
969,88,8,tiger,
970,31,11,elephant,
971,83,4,sweet_pepper,
972,63,12,porcupine,
973,59,17,pine_tree,
974,34,12,fox,
975,81,19,streetcar,
976,54,2,orchid,
977,28,3,cup,
978,76,9,skyscraper,
979,84,6,table,
980,44,15,lizard,
981,88,8,tiger,
982,59,17,pine_tree,
983,65,16,rabbit,
984,8,18,bicycle,
985,91,1,trout,
986,51,4,mushroom,
987,42,8,leopard,
988,23,10,cloud,
989,20,6,chair,
990,26,13,crab,
991,77,13,snail,
992,77,13,snail,
993,4,0,beaver,
994,84,6,table,
995,4,0,beaver,
996,8,18,bicycle,
997,60,10,plain,
998,41,19,lawn_mower,
999,96,17,willow_tree,
1000,54,2,orchid,
1001,30,0,dolphin,
1002,51,4,mushroom,
1003,35,14,girl,
1004,11,14,boy,
1005,18,7,caterpillar,
1006,47,17,maple_tree,
1007,89,19,tractor,
1008,63,12,porcupine,
1009,6,7,bee,
1010,32,1,flatfish,
1011,26,13,crab,
1012,30,0,dolphin,
1013,42,8,leopard,
1014,67,1,ray,
1015,7,7,beetle,
1016,12,9,bridge,
1017,1,1,aquarium_fish,
1018,37,9,house,
1019,30,0,dolphin,
1020,53,4,orange,
1021,98,14,woman,
1022,76,9,skyscraper,
1023,8,18,bicycle,
1024,36,16,hamster,
1025,67,1,ray,
1026,91,1,trout,
1027,67,1,ray,
1028,33,10,forest,
1029,82,2,sunflower,
1030,93,15,turtle,
1031,84,6,table,
1032,52,17,oak_tree,
1033,84,6,table,
1034,90,18,train,
1035,7,7,beetle,
1036,33,10,forest,
1037,78,15,snake,
1038,66,12,raccoon,
1039,9,3,bottle,
1040,12,9,bridge,
1041,27,15,crocodile,
1042,44,15,lizard,
1043,18,7,caterpillar,
1044,63,12,porcupine,
1045,75,12,skunk,
1046,95,0,whale,
1047,50,16,mouse,
1048,59,17,pine_tree,
1049,63,12,porcupine,
1050,45,13,lobster,
1051,28,3,cup,
1052,19,11,cattle,
1053,50,16,mouse,
1054,7,7,beetle,
1055,27,15,crocodile,
1056,92,2,tulip,
1057,53,4,orange,
1058,64,12,possum,
1059,53,4,orange,
1060,41,19,lawn_mower,
1061,44,15,lizard,
1062,39,5,computer_keyboard,
1063,73,1,shark,
1064,61,3,plate,
1065,43,8,lion,
1066,80,16,squirrel,
1067,35,14,girl,
1068,85,19,tank,
1069,71,10,sea,
1070,21,11,chimpanzee,
1071,36,16,hamster,
1072,53,4,orange,
1073,67,1,ray,
1074,90,18,train,
1075,74,16,shrew,
1076,34,12,fox,
1077,14,7,butterfly,
1078,46,14,man,
1079,55,0,otter,
1080,37,9,house,
1081,80,16,squirrel,
1082,73,1,shark,
1083,86,5,telephone,
1084,12,9,bridge,
1085,44,15,lizard,
1086,75,12,skunk,
1087,24,7,cockroach,
1088,67,1,ray,
1089,24,7,cockroach,
1090,80,16,squirrel,
1091,51,4,mushroom,
1092,5,6,bed,
1093,71,10,sea,
1094,53,4,orange,
1095,90,18,train,
1096,74,16,shrew,
1097,49,10,mountain,
1098,51,4,mushroom,
1099,73,1,shark,
1100,17,9,castle,
1101,67,1,ray,
1102,54,2,orchid,
1103,54,2,orchid,
1104,54,2,orchid,
1105,81,19,streetcar,
1106,2,14,baby,
1107,64,12,possum,
1108,90,18,train,
1109,35,14,girl,
1110,24,7,cockroach,
1111,71,10,sea,
1112,92,2,tulip,
1113,38,11,kangaroo,
1114,8,18,bicycle,
1115,90,18,train,
1116,15,11,camel,
1117,50,16,mouse,
1118,44,15,lizard,
1119,88,8,tiger,
1120,68,9,road,
1121,47,17,maple_tree,
1122,84,6,table,
1123,64,12,possum,
1124,80,16,squirrel,
1125,34,12,fox,
1126,51,4,mushroom,
1127,85,19,tank,
1128,52,17,oak_tree,
1129,1,1,aquarium_fish,
1130,61,3,plate,
1131,26,13,crab,
1132,48,18,motorcycle,
1133,24,7,cockroach,
1134,7,7,beetle,
1135,78,15,snake,
1136,82,2,sunflower,
1137,87,5,television,
1138,13,18,bus,
1139,68,9,road,
1140,49,10,mountain,
1141,90,18,train,
1142,77,13,snail,
1143,82,2,sunflower,
1144,54,2,orchid,
1145,32,1,flatfish,
1146,98,14,woman,
1147,49,10,mountain,
1148,4,0,beaver,
1149,50,16,mouse,
1150,15,11,camel,
1151,93,15,turtle,
1152,41,19,lawn_mower,
1153,37,9,house,
1154,89,19,tractor,
1155,24,7,cockroach,
1156,19,11,cattle,
1157,80,16,squirrel,
1158,8,18,bicycle,
1159,6,7,bee,
1160,59,17,pine_tree,
1161,13,18,bus,
1162,12,9,bridge,
1163,31,11,elephant,
1164,77,13,snail,
1165,9,3,bottle,
1166,71,10,sea,
1167,56,17,palm_tree,
1168,97,8,wolf,
1169,63,12,porcupine,
1170,48,18,motorcycle,
1171,90,18,train,
1172,15,11,camel,
1173,10,3,bowl,
1174,3,8,bear,
1175,65,16,rabbit,
1176,13,18,bus,
1177,19,11,cattle,
1178,54,2,orchid,
1179,58,18,pickup_truck,
1180,4,0,beaver,
1181,63,12,porcupine,
1182,63,12,porcupine,
1183,31,11,elephant,
1184,26,13,crab,
1185,68,9,road,
1186,86,5,telephone,
1187,45,13,lobster,
1188,93,15,turtle,
1189,94,6,wardrobe,
1190,87,5,television,
1191,24,7,cockroach,
1192,60,10,plain,
1193,38,11,kangaroo,
1194,80,16,squirrel,
1195,2,14,baby,
1196,47,17,maple_tree,
1197,54,2,orchid,
1198,2,14,baby,
1199,15,11,camel,
1200,87,5,television,
1201,6,7,bee,
1202,45,13,lobster,
1203,40,5,lamp,
1204,93,15,turtle,
1205,4,0,beaver,
1206,69,19,rocket,
1207,93,15,turtle,
1208,23,10,cloud,
1209,51,4,mushroom,
1210,20,6,chair,
1211,58,18,pickup_truck,
1212,80,16,squirrel,
1213,5,6,bed,
1214,30,0,dolphin,
1215,88,8,tiger,
1216,41,19,lawn_mower,
1217,76,9,skyscraper,
1218,63,12,porcupine,
1219,7,7,beetle,
1220,74,16,shrew,
1221,75,12,skunk,
1222,45,13,lobster,
1223,80,16,squirrel,
1224,93,15,turtle,
1225,68,9,road,
1226,52,17,oak_tree,
1227,55,0,otter,
1228,46,14,man,
1229,44,15,lizard,
1230,12,9,bridge,
1231,54,2,orchid,
1232,88,8,tiger,
1233,5,6,bed,
1234,56,17,palm_tree,
1235,26,13,crab,
1236,40,5,lamp,
1237,59,17,pine_tree,
1238,0,4,apple,
1239,27,15,crocodile,
1240,74,16,shrew,
1241,81,19,streetcar,
1242,18,7,caterpillar,
1243,33,10,forest,
